year,j2jsepr
2000,0.07
2000,0.069
2000,0.066
2001,0.064
2001,0.061
2001,0.058
2001,0.056
2002,0.054
2002,0.054
2002,0.053
2002,0.052
2003,0.051
2003,0.05
2003,0.05
2003,0.052
2004,0.053
2004,0.053
2004,0.054
2004,0.055
2005,0.054
2005,0.056
2005,0.058
2005,0.056
2006,0.058
2006,0.058
2006,0.057
2006,0.056
2007,0.057
2007,0.057
2007,0.056
2007,0.054
2008,0.053
2008,0.05
2008,0.047
2008,0.043
2009,0.039
2009,0.034
2009,0.034
2009,0.037
2010,0.037
2010,0.038
2010,0.039
2010,0.042
2011,0.041
2011,0.042
2011,0.044
2011,0.043
2012,0.045
2012,0.045
2012,0.045
2012,0.046
2013,0.047
2013,0.047
2013,0.049
2013,0.049
2014,0.049
2014,
