Year,Reference month,Census Division,Ratio
1982,March,New England,4.3
1982,March,Middle Atlantic,3.8
1982,March,East North Central,4.2
1982,March,West North Central,4.2
1982,March,South Atlantic,4
1982,March,East South Central,4
1982,March,West South Central,3.9
1982,March,Mountain,3.6
1982,March,Pacific,3.9
1983,March,New England,4.5
1983,March,Middle Atlantic,4.3
1983,March,East North Central,4
1983,March,West North Central,4.5
1983,March,South Atlantic,3.6
1983,March,East South Central,4.1
1983,March,West South Central,4.1
1983,March,Mountain,3.1
1983,March,Pacific,3.7
1984,March,New England,4.3
1984,March,Middle Atlantic,4.5
1984,March,East North Central,4.3
1984,March,West North Central,4.6
1984,March,South Atlantic,3.6
1984,March,East South Central,4.1
1984,March,West South Central,4.3
1984,March,Mountain,3.5
1984,March,Pacific,3.5
1985,March,New England,3.9
1985,March,Middle Atlantic,4.5
1985,March,East North Central,4.6
1985,March,West North Central,4.5
1985,March,South Atlantic,3.3
1985,March,East South Central,4
1985,March,West South Central,4.5
1985,March,Mountain,4.6
1985,March,Pacific,4.4
1986,March,New England,3.8
1986,March,Middle Atlantic,4.3
1986,March,East North Central,4.7
1986,March,West North Central,4.3
1986,March,South Atlantic,3.6
1986,March,East South Central,3.7
1986,March,West South Central,4.3
1986,March,Mountain,4.7
1986,March,Pacific,4.2
1987,March,New England,3.6
1987,March,Middle Atlantic,4.2
1987,March,East North Central,4.5
1987,March,West North Central,4.7
1987,March,South Atlantic,3.8
1987,March,East South Central,4.5
1987,March,West South Central,4
1987,March,Mountain,4.3
1987,March,Pacific,4.3
1988,March,New England,3.8
1988,March,Middle Atlantic,4.5
1988,March,East North Central,5
1988,March,West North Central,4.7
1988,March,South Atlantic,3.6
1988,March,East South Central,4.2
1988,March,West South Central,4
1988,March,Mountain,4.4
1988,March,Pacific,4.2
1989,March,New England,3.5
1989,March,Middle Atlantic,3.8
1989,March,East North Central,4.8
1989,March,West North Central,4.7
1989,March,South Atlantic,3.9
1989,March,East South Central,4.5
1989,March,West South Central,4.6
1989,March,Mountain,4.9
1989,March,Pacific,4.4
1990,March,New England,3.9
1990,March,Middle Atlantic,4.2
1990,March,East North Central,4.5
1990,March,West North Central,4.7
1990,March,South Atlantic,3.8
1990,March,East South Central,4.3
1990,March,West South Central,4.4
1990,March,Mountain,5
1990,March,Pacific,4.5
1991,March,New England,3.2
1991,March,Middle Atlantic,4
1991,March,East North Central,4.8
1991,March,West North Central,4.9
