date,eu_a_q2,eu_a_q3,eu_a_q4,eu_a_q5,eu_a_q6,eu_a_q7,eu_a_q8,eu_a_q9,eu_a_q10,eu_a_q11,eu_a_q12,ue_a_q2,ue_a_q3,ue_a_q4,ue_a_q5,ue_a_q6,ue_a_q7,ue_a_q8,ue_a_q9,ue_a_q10,ue_a_q11,ue_a_q12,en_a_q2,en_a_q3,en_a_q4,en_a_q5,en_a_q6,en_a_q7,en_a_q8,en_a_q9,en_a_q10,en_a_q11,en_a_q12,ne_a_q2,ne_a_q3,ne_a_q4,ne_a_q5,ne_a_q6,ne_a_q7,ne_a_q8,ne_a_q9,ne_a_q10,ne_a_q11,ne_a_q12,empchangeipums_a_q2,empchangeipums_a_q3,empchangeipums_a_q4,empchangeipums_a_q5,empchangeipums_a_q6,empchangeipums_a_q7,empchangeipums_a_q8,empchangeipums_a_q9,empchangeipums_a_q10,empchangeipums_a_q11,empchangeipums_a_q12,smigirs_a_q2,smigirs_a_q3,smigirs_a_q4,smigirs_a_q5,smigirs_a_q6,smigirs_a_q7,smigirs_a_q8,smigirs_a_q9,smigirs_a_q10,smigirs_a_q11,smigirs_a_q12,jdr_a_q2,jdr_a_q3,jdr_a_q4,jdr_a_q5,jdr_a_q6,jdr_a_q7,jdr_a_q8,jdr_a_q9,jdr_a_q10,jdr_a_q11,jdr_a_q12,jcr_a_q2,jcr_a_q3,jcr_a_q4,jcr_a_q5,jcr_a_q6,jcr_a_q7,jcr_a_q8,jcr_a_q9,jcr_a_q10,jcr_a_q11,jcr_a_q12
1968, 0.014433581226, 0.012523595280, 0.011991207526, 0.011547221017, 0.011249359038, 0.011763035685, 0.011387284772, 0.010832838343, 0.009721323191, 0.010364217585, 0.010274486106, 0.275867760495, 0.313379589036, 0.311569219993, 0.321157274419, 0.327559215921, 0.322887586142, 0.326083686600, 0.339164086630, 0.352106506713, 0.335924268277, 0.341521694569, 0.036988671098, 0.037975269684, 0.037898046309, 0.038569309972, 0.038884116007, 0.038568756973, 0.038889605139, 0.039116634085, 0.039520869524, 0.039574115760, 0.039803899940, 0.046580288894, 0.049520942393, 0.048093593935, 0.049307268670, 0.049008058583, 0.048278316299, 0.048730339247, 0.049450170932, 0.050170798329, 0.049238426873, 0.049426981671,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1969, 0.014447208770, 0.012613768548, 0.012119213146, 0.011724358990, 0.011473767775, 0.011877023294, 0.011606180849, 0.011246409920, 0.010613292256, 0.010924005824, 0.010888976013, 0.275931797290, 0.311940279662, 0.310258558430, 0.318785581333, 0.324171533268, 0.320504127904, 0.322807887208, 0.331295537999, 0.338667524567, 0.330846580583, 0.333031731036, 0.036920978651, 0.037868037729, 0.037796301974, 0.038393282381, 0.038658128627, 0.038410559905, 0.038641828277, 0.038789143527, 0.039019395537, 0.039045129667, 0.039134833930, 0.046589185413, 0.049411987548, 0.048086068826, 0.049165436110, 0.048913710731, 0.048340835548, 0.048666655116, 0.049133741747, 0.049544210226, 0.049093591175, 0.049167200112,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1970, 0.014474184005, 0.012790767537, 0.012369188411, 0.012067161887, 0.011903610318, 0.012109759964, 0.012019444342, 0.011980670559, 0.012098445004, 0.011916433354, 0.011957459915, 0.276057266315, 0.309119305335, 0.307685737800, 0.314208113335, 0.317723323910, 0.315848496955, 0.316616712785, 0.317531456879, 0.316160097849, 0.320741497137, 0.318182270942, 0.036786534889, 0.037656099562, 0.037594949089, 0.038051583302, 0.038224438600, 0.038097878139, 0.038174997317, 0.038190874002, 0.038148041833, 0.038132967141, 0.038027906411, 0.046606803808, 0.049198626295, 0.048068359282, 0.048893974369, 0.048729682574, 0.048436821074, 0.048545469469, 0.048595809044, 0.048519452468, 0.048783418788, 0.048697208742,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1971, 0.014513952381, 0.013048025260, 0.012729380517, 0.012553604429, 0.012503048177, 0.012467777542, 0.012583204580, 0.012879042072, 0.013697018360, 0.013116326145, 0.013208398665, 0.276239011447, 0.305029593335, 0.303946051170, 0.307742001411, 0.308828605910, 0.309149374533, 0.308167563456, 0.301188218761, 0.291663748745, 0.306280301586, 0.300536841791, 0.036587206477, 0.037344427558, 0.037298207820, 0.037563963869, 0.037617396043, 0.037639049575, 0.037540488128, 0.037419351675, 0.037121870347, 0.037073775862, 0.036837996750, 0.046632797981, 0.048889769413, 0.048035472747, 0.048515971573, 0.048465186506, 0.048515292880, 0.048376435812, 0.047992353258, 0.047462035590, 0.048304196995, 0.048110722915,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1972, 0.014565694877, 0.013376006463, 0.013182939524, 0.013152865574, 0.013223327928, 0.012954218869, 0.013243161702, 0.013769736933, 0.014935857064, 0.014256525506, 0.014343515182, 0.276469430042, 0.299834726455, 0.299178207955, 0.299827666150, 0.298313220194, 0.300760631224, 0.298302911792, 0.285880044036, 0.272301806640, 0.289401201737, 0.283974808414, 0.036325754678, 0.036940285328, 0.036912280776, 0.036957749613, 0.036883278966, 0.037048491797, 0.036801767770, 0.036586151233, 0.036162057074, 0.036105793015, 0.035883030038, 0.046666656695, 0.048498325354, 0.047980706765, 0.048062916457, 0.048133697721, 0.048516000985, 0.048168406910, 0.047484760094, 0.046728730710, 0.047713945950, 0.047531152565,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1973, 0.014628343102, 0.013762572050, 0.013708802571, 0.013827758795, 0.014008057363, 0.013562958192, 0.013944744893, 0.014517168411, 0.015529532847, 0.015102569701, 0.015131446309, 0.276738628081, 0.293742237615, 0.293559396068, 0.290990491994, 0.287115338500, 0.291163290764, 0.287915850478, 0.274411338221, 0.262623423513, 0.273370475429, 0.271569160130, 0.036005789633, 0.036453001560, 0.036445202243, 0.036265352204, 0.036074797244, 0.036348054839, 0.036022052801, 0.035787662785, 0.035419486443, 0.035384124212, 0.035310177055, 0.046707712913, 0.048040671764, 0.047896514084, 0.047571337168, 0.047752451758, 0.048384771114, 0.047925487199, 0.047182316058, 0.046525970935, 0.047145183443, 0.047084504369,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1974, 0.014700599009, 0.014193442471, 0.014282791399, 0.014537613887, 0.014799135246, 0.014273725515, 0.014641762444, 0.015059046689, 0.015481932532, 0.015527947858, 0.015481107781, 0.277034622547, 0.286995098516, 0.287298926943, 0.281795940193, 0.276175066897, 0.280953403152, 0.277822917084, 0.267978422526, 0.263054363489, 0.261896115758, 0.264817987569, 0.035631710650, 0.035893681124, 0.035906641275, 0.035521374893, 0.035244976735, 0.035567539005, 0.035253277696, 0.035082412492, 0.034928617517, 0.034932428630, 0.035052376599, 0.046755155974, 0.047535984572, 0.047775531884, 0.047078953028, 0.047341658019, 0.048088068625, 0.047645325489, 0.047103569954, 0.046829400840, 0.046762666122, 0.046861092242,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1975, 0.014780958865, 0.014652741945, 0.014878859998, 0.015241349630, 0.015542590280, 0.015049813290, 0.015301345698, 0.015416975129, 0.015068371792, 0.015563589664, 0.015469587322, 0.277343587331, 0.279861747823, 0.280630655676, 0.272802556760, 0.266327997529, 0.270809555488, 0.268670045460, 0.265942136808, 0.270001254506, 0.257536168853, 0.263400010468, 0.035208633555, 0.035274863693, 0.035307662342, 0.034759613894, 0.034441236989, 0.034743765198, 0.034528985381, 0.034481638647, 0.034608418586, 0.034649433856, 0.034890154853, 0.046808046417, 0.047005451815, 0.047611681491, 0.046620785376, 0.046923389427, 0.047623441121, 0.047320851249, 0.047170730833, 0.047396740452, 0.046678540055, 0.046876069315, 0.150906904913, 0.154538319326, 0.157291067916, 0.156274092943, 0.159731091803, 0.162176597714, 0.159950743008, 0.152095180996, 0.150888593435, 0.146537760828, 0.145504749827, 0.029854252128, 0.030323686955, 0.030443352648, 0.030508105218, 0.030521948521, 0.030289689213, 0.030496674688, 0.029706243280, 0.029680140399, 0.029362606287, 0.029141564439,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1976, 0.014867741040, 0.015123602233, 0.015470421090, 0.015900464104, 0.016193617087, 0.015839401326, 0.015904202160, 0.015677577331, 0.014707524119, 0.015396067549, 0.015312208193, 0.277650138114, 0.272625063845, 0.273804411262, 0.264517471829, 0.258216740681, 0.261438154210, 0.260886964665, 0.266233456692, 0.277528701877, 0.260197435565, 0.265428560328, 0.034742306361, 0.034610141885, 0.034660448307, 0.034010265829, 0.033700436664, 0.033917898643, 0.033862566166, 0.033955362139, 0.034308150750, 0.034365177761, 0.034579924620, 0.046865333152, 0.046471404016, 0.047401236374, 0.046225677366, 0.046520157144, 0.047023365185, 0.046945410713, 0.047239635229, 0.047868548762, 0.046869973807, 0.047046189379, 0.151086969122, 0.154517710997, 0.157001001376, 0.156138851623, 0.158842269840, 0.160567037053, 0.159191383190, 0.155100112768, 0.154600327836, 0.153299880953, 0.153118514690, 0.029824597605, 0.030268091390, 0.030376043370, 0.030430937949, 0.030441763593, 0.030277955671, 0.030405879730, 0.029994213622, 0.029983401454, 0.029888491748, 0.029849683319,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN,            NaN
1977, 0.014959117120, 0.015588802384, 0.016031676524, 0.016481683579, 0.016720225449, 0.016580713962, 0.016440691033, 0.015951383748, 0.014777392756, 0.015303494253, 0.015280899817, 0.277937650992, 0.265570729803, 0.267076710411, 0.257358640051, 0.252231664446, 0.253500450994, 0.254691472311, 0.266235121421, 0.279905006679, 0.266662552024, 0.268071987057, 0.034239014746, 0.033913752358, 0.033977991694, 0.033297625561, 0.033045514094, 0.033131163711, 0.033250727226, 0.033451083674, 0.033878040305, 0.033921613440, 0.033979473223, 0.046925872704, 0.045956396368, 0.047143755988, 0.045913623582, 0.046153245080, 0.046351438695, 0.046519884266, 0.047155146519, 0.047916278809, 0.047153288770, 0.047200766973, 0.151439653197, 0.154480139190, 0.156450889594, 0.155874819546, 0.157235347224, 0.157731052912, 0.157731052912, 0.159364562052, 0.159864346984, 0.162526034210, 0.163345836382, 0.029765619838, 0.030158665041, 0.030244336218, 0.030281015603, 0.030286463738, 0.030239384620, 0.030239384620, 0.030403749300, 0.030414561467, 0.030608817732, 0.030784237535, 0.157924733473, 0.160451130823, 0.153473554238, 0.154519908548, 0.153535625396, 0.151836271879, 0.143865185591, 0.146961531550, 0.143266539963, 0.145088652346, 0.146777763474, 0.189875355721, 0.197986885669, 0.195218637311, 0.196537992191, 0.202485150841, 0.208254318708, 0.214690571005, 0.213339791833, 0.217659489159, 0.216041193207, 0.218889658152
