year2,state,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,1,52370,62851,957290,933906,10633,17.2,8057,13.1,191515,89862,101653,9.6,20.5,144746,58891,85855,6.3,15.5,46769,5,31,0,5623,5641,36602
1977,2,6479,7724,107155,108123,2028,27,1564,20.8,37545,19259,18286,17.8,34.7,39481,13504,25977,12.5,36.5,-1936,-1.8,69.4,0,1035,1039,6757
1977,4,36477,44113,604565,589412,9380,22,6229,14.6,147441,70660,76781,12,25,117136,45073,72063,7.6,19.9,30305,5.1,39.8,0,4333,4358,29117
1977,5,35497,40700,551097,529700,7291,18.3,5456,13.7,119728,44527,75201,8.4,22.6,76934,32541,44393,6.1,14.5,42794,8.1,29,0,3970,3994,19678
1977,6,362884,438763,6813612,6485221,88185,20.7,60589,14.2,1739471,779210,960261,12,26.8,1082690,488542,594148,7.5,16.7,656781,10.1,33.4,0,39700,39939,276726
1977,8,51640,60185,814072,786486,12873,22.2,8248,14.2,198230,93264,104966,11.9,25.2,143058,62313,80745,7.9,18.2,55172,7,36.4,0,5674,5695,37139
1977,9,53879,61410,1103826,1059984,9154,15.2,6634,11,214913,69925,144988,6.6,20.3,127228,47273,79955,4.5,12,87685,8.3,24,0,4248,4263,24208
1977,10,9917,11463,223122,220843,1954,17.6,1250,11.2,34819,14260,20559,6.5,15.8,30261,9058,21203,4.1,13.7,4558,2.1,27.4,0,807,810,5417
1977,11,13035,15049,297123,296361,2262,15.2,1857,12.5,59434,27830,31604,9.4,20.1,57910,20665,37245,7,19.5,1524,0.6,39,0,1131,1135,9899
1977,12,151967,182088,2418494,2316286,36817,20.7,27046,15.2,622795,319960,302835,13.8,26.9,418378,191983,226395,8.3,18.1,204417,8.8,36.2,0,19132,19236,120706
1977,13,78450,95912,1492869,1452440,17572,18.7,13164,14,319917,146749,173168,10.1,22,239058,97307,141751,6.7,16.5,80859,5.5,33,0,8877,8911,56643
1977,15,14785,17914,261107,253382,3306,19,2150,12.4,55585,27592,27993,10.9,21.9,40134,19811,20323,7.8,15.8,15451,6.1,31.6,0,1422,1438,10556
1977,16,16104,18789,259121,231418,3729,20.5,2500,13.7,92116,24359,67757,10.5,39.8,36709,15378,21331,6.6,15.9,55407,23.9,31.8,0,1738,1749,9788
1977,17,175556,204934,3918464,3811070,30779,15.2,25527,12.6,745771,293002,452769,7.7,19.6,530983,202056,328927,5.3,13.9,214788,5.7,27.8,0,16751,16871,107141
1977,18,79025,95184,1708861,1669809,14425,15.4,11452,12.2,298813,122017,176796,7.3,17.9,220708,81198,139510,4.9,13.2,78105,4.7,26.4,0,7440,7501,50290
1977,19,54752,64039,837719,809067,10153,16.1,7959,12.6,169102,68127,100975,8.4,20.9,111798,50697,61101,6.3,13.8,57304,7.1,27.6,0,5274,5295,31820
1977,20,44462,51779,683812,655543,8534,16.7,6944,13.6,159914,86834,73080,13.2,24.4,103375,44771,58604,6.8,15.8,56539,8.6,31.6,0,4707,4730,26873
1977,21,50185,58575,917801,886373,9714,16.8,7698,13.4,193739,73707,120032,8.3,21.9,130883,52485,78398,5.9,14.8,62856,7.1,29.6,0,5216,5228,31089
1977,22,58950,70027,1022019,992313,11804,17.3,8217,12,223323,96410,126913,9.7,22.5,163910,61748,102162,6.2,16.5,59413,6,33,0,5820,5853,37714
1977,23,18928,21672,292541,283886,3441,16.2,2749,12.9,59850,26990,32860,9.5,21.1,42539,16956,25583,6,15,17311,6.1,30,0,1756,1762,9457
1977,24,57553,68665,1126292,1112553,11007,16.4,8104,12,222714,87380,135334,7.9,20,195236,65771,129465,5.9,17.5,27478,2.5,35,0,5204,5225,33912
1977,25,93707,108717,1950802,1882042,14689,13.7,12039,11.2,389302,156490,232812,8.3,20.7,251781,104353,147428,5.5,13.4,137521,7.3,26.8,0,7821,7850,55400
1977,26,122825,147030,2717585,2620160,23171,16,18174,12.6,532685,198762,333923,7.6,20.3,337834,129387,208447,4.9,12.9,194851,7.4,25.8,0,11445,11517,71219
1977,27,65490,76962,1282741,1230881,12233,16.2,8978,11.9,282418,108556,173862,8.8,22.9,178697,73212,105485,5.9,14.5,103721,8.4,29,0,5779,5833,43594
1977,28,34771,40703,580955,560074,6881,17.2,5251,13.1,122791,48135,74656,8.6,21.9,81029,34704,46325,6.2,14.5,41762,7.4,29,0,3729,3755,22470
1977,29,79867,94773,1509440,1469021,15095,16.1,12458,13.3,297783,114468,183315,7.8,20.3,216945,89645,127300,6.1,14.8,80838,5.5,29.6,0,8281,8321,47534
1977,30,16631,18921,191002,178587,3669,20,2398,13.1,53807,23008,30799,12.9,30.1,28977,13324,15653,7.5,16.2,24830,13.9,32.4,0,1670,1675,9899
1977,31,31394,36094,473539,451669,5743,16.2,4373,12.3,116038,38504,77534,8.5,25.7,72297,29255,43042,6.5,16,43741,9.7,32,0,2972,2983,19664
1977,32,12870,14680,235286,224169,3257,23.1,2044,14.5,57167,24768,32399,11,25.5,34933,15357,19576,6.9,15.6,22234,9.9,31.2,0,1465,1469,9485
1977,33,16554,18450,262128,253779,3204,17.9,2063,11.5,51197,20146,31051,7.9,20.2,34498,14599,19899,5.8,13.6,16699,6.6,27.2,0,1400,1407,8623
1977,34,124633,141632,2300054,2259319,20677,14.8,17343,12.4,428173,178345,249828,7.9,19,346704,131638,215066,5.8,15.3,81469,3.7,30.6,0,11018,11061,64316
1977,35,20904,24176,274216,266414,4889,20.8,3459,14.7,67102,33274,33828,12.5,25.2,51497,22137,29360,8.3,19.3,15605,5.9,38.6,0,2422,2430,13635
1977,36,312235,353290,5537830,5436385,48066,13.7,44901,12.8,1044673,402056,642617,7.4,19.2,841782,323829,517953,6,15.5,202891,3.7,31,0,31295,31403,181812
1977,37,84507,102516,1749806,1718495,16733,16.7,12387,12.3,306568,132504,174064,7.7,17.8,243947,88082,155865,5.1,14.2,62621,3.6,28.4,0,8387,8415,51683
1977,38,13176,14915,149177,146556,2435,16.6,1871,12.8,29553,14237,15316,9.7,20.2,24311,10832,13479,7.4,16.6,5242,3.6,33.2,0,1170,1175,7566
1977,39,152023,189070,3540532,3435409,27568,14.8,21856,11.7,661824,255074,406750,7.4,19.3,451577,171061,280516,5,13.1,210247,6.2,26.2,0,13730,13816,90201
1977,40,50339,58474,746519,721672,10529,18.4,7817,13.7,165029,78339,86690,10.9,22.9,115335,50346,64989,7,16,49694,6.9,32,0,5627,5653,32516
1977,41,46561,53996,695635,671953,10968,20.9,7492,14.3,155622,71795,83827,10.7,23.2,108257,50465,57792,7.5,16.1,47365,7.1,32.2,0,4972,4997,30325
1977,42,174494,208706,3850164,3747434,28485,13.8,22690,11,710037,274156,435881,7.3,18.9,504578,183801,320777,4.9,13.5,205459,5.4,27,0,14434,14527,94368
1977,44,17572,19458,358023,324414,2770,14.4,2227,11.6,106312,18286,88026,5.6,32.8,39094,14848,24246,4.6,12.1,67218,20.7,24.2,0,1452,1462,7106
1977,45,42348,50173,839463,827934,8439,17.2,6095,12.4,136998,59754,77244,7.2,16.5,113939,41950,71989,5.1,13.8,23059,2.7,27.6,0,4204,4229,23887
1977,46,13879,15602,195298,171944,2501,16.2,2013,13.1,71785,25862,45923,15,41.7,25076,10499,14577,6.1,14.6,46709,27.1,29.2,0,1255,1255,6637
1977,47,65617,78341,1313540,1274018,13758,17.9,10116,13.2,267608,121527,146081,9.5,21,188564,74314,114250,5.8,14.8,79044,6.2,29.6,0,6942,6972,44067
1977,48,214503,263752,3989930,3845577,49801,19.4,34100,13.3,940636,434101,506535,11.3,24.5,651931,264041,387890,6.9,17,288705,7.5,34,0,23578,23753,157880
1977,49,21267,24552,356325,339645,5073,21.4,3305,14,92693,38733,53960,11.4,27.3,59333,26057,33276,7.7,17.5,33360,9.8,35,0,2148,2168,15845
1977,50,10484,11608,145065,139004,1914,16.9,1347,11.9,31309,13726,17583,9.9,22.5,19186,8799,10387,6.3,13.8,12123,8.7,27.6,0,910,913,4689
1977,51,72545,88147,1391291,1360438,14413,16.7,10723,12.4,282891,127383,155508,9.4,20.8,221186,79456,141730,5.8,16.3,61705,4.5,32.6,0,6987,7029,42992
1977,53,66225,77854,1027716,982291,15569,20.7,10117,13.4,242680,112304,130376,11.4,24.7,151829,65408,86421,6.7,15.5,90851,9.2,31,0,6567,6597,39560
1977,54,26551,30888,471881,459230,4781,15.7,3800,12.5,98603,41451,57152,9,21.5,73301,31646,41655,6.9,16,25302,5.5,32,0,2463,2478,13568
1977,55,75849,87655,1435114,1401103,13130,15.3,9808,11.4,238699,96694,142005,6.9,17,170676,69961,100715,5,12.2,68023,4.8,24.4,0,6219,6269,38462
1977,56,9659,10761,109296,102991,2260,21.9,1373,13.3,31497,15382,16115,14.9,30.6,18886,8866,10020,8.6,18.3,12611,12.3,36.6,0,926,928,6309
1978,1,54174,65108,1032099,994655,10270,16.1,7999,12.5,212992,71968,141024,7.2,21.4,138103,55212,82891,5.6,13.9,74889,7.5,27.8,0,5667,5688,30942
1978,2,6761,8011,110199,108594,1801,22.9,1484,18.9,35994,13070,22924,12,33.1,32784,15082,17702,13.9,30.2,3210,2.9,60.4,0,837,842,6987
1978,4,35145,43019,658018,630219,7741,17.8,8348,19.2,162964,60185,102779,9.5,25.9,107366,56864,50502,9,17,55598,8.9,34,0,4886,4932,28308
1978,5,33699,38928,563698,556481,5933,14.9,7207,18.1,107633,36143,71490,6.5,19.3,93199,47649,45550,8.6,16.7,14434,2.6,33.4,0,4418,4433,21665
1978,6,375039,452639,7242477,7022844,81029,18.2,66905,15,1681941,596236,1085705,8.5,23.9,1242674,528506,714168,7.5,17.7,439267,6.2,35.4,0,41451,41726,247950
1978,8,50217,59204,877235,843940,10786,18.1,11113,18.6,213410,73715,139695,8.7,25.3,146821,74935,71886,8.9,17.4,66589,7.9,34.8,0,6706,6740,38425
1978,9,55493,63206,1139561,1121611,8080,13,6272,10.1,192757,52558,140199,4.7,17.2,156857,63709,93148,5.7,14,35900,3.2,28,0,4291,4308,32288
1978,10,9702,11290,222745,222910,1458,12.8,1633,14.4,58786,9182,49604,4.1,26.4,59116,40838,18278,18.3,26.5,-330,-0.1,52.8,0,1231,1232,34224
1978,11,13238,15255,318271,307683,1953,12.9,1755,11.6,63264,17424,45840,5.7,20.6,42088,16725,25363,5.4,13.7,21176,6.9,27.4,0,1122,1138,8149
1978,12,159712,190769,2563045,2490498,35054,18.8,26328,14.1,619342,240341,379001,9.7,24.9,474247,190830,283417,7.7,19,145095,5.9,38,0,18884,18968,110615
1978,13,81030,98904,1615109,1554100,15561,16,12529,12.9,339942,115556,224386,7.4,21.9,217926,93061,124865,6,14,122016,7.9,28,0,8710,8748,52225
1978,15,15384,18555,275673,268386,2831,15.5,2190,12,56469,22285,34184,8.3,21,41894,20138,21756,7.5,15.6,14575,5.4,31.2,0,1405,1419,7582
1978,16,15630,18328,229888,243942,3061,16.5,3288,17.7,55171,21737,33434,8.9,22.6,83278,20769,62509,8.5,34.1,-28107,-11.5,45.2,0,1912,1921,9996
1978,17,178536,208469,4076306,3996893,27457,13.3,23997,11.6,711873,219005,492868,5.5,17.8,553047,201492,351555,5,13.8,158826,4,27.6,0,16386,16527,98512
1978,18,81028,97484,1829434,1768938,13091,13.6,10726,11.1,327945,89797,238148,5.1,18.5,206952,77825,129127,4.4,11.7,120993,6.8,23.4,0,7320,7361,40910
1978,19,56019,65581,875844,856636,9004,13.9,7426,11.5,158495,54655,103840,6.4,18.5,120078,41678,78400,4.9,14,38417,4.5,28,0,5339,5364,25468
1978,20,45720,53330,701242,691994,7858,15,6264,11.9,140239,51465,88774,7.4,20.3,121743,41566,80177,6,17.6,18496,2.7,35.2,0,4418,4431,23875
1978,21,51408,60194,958279,937876,9089,15.3,7408,12.5,184597,60768,123829,6.5,19.7,143791,60111,83680,6.4,15.3,40806,4.4,30.6,0,5233,5245,25056
1978,22,56700,68043,1108592,1062969,9458,13.7,10691,15.5,253707,74865,178842,7,23.9,162461,73187,89274,6.9,15.3,91246,8.6,30.6,0,6345,6371,36249
1978,23,19656,22501,309249,297059,3419,15.5,2532,11.5,62052,18992,43060,6.4,20.9,37671,14469,23202,4.9,12.7,24381,8.2,25.4,0,1807,1812,8329
1978,24,59011,70403,1174891,1150196,9597,13.8,7872,11.3,221233,69085,152148,6,19.2,171843,62953,108890,5.5,14.9,49390,4.3,29.8,0,5222,5244,29272
1978,25,95419,110493,2096054,2023236,13206,12,11449,10.4,398773,115069,283704,5.7,19.7,253137,110735,142402,5.5,12.5,145636,7.2,25,0,7618,7672,48507
1978,26,125934,150641,2886872,2793313,21114,14.2,17437,11.7,520781,167886,352895,6,18.6,333664,138798,194866,5,11.9,187117,6.7,23.8,0,11581,11637,69164
1978,27,67772,79549,1373082,1327845,11104,14.2,8497,10.9,285625,84549,201076,6.4,21.5,195150,67723,127427,5.1,14.7,90475,6.8,29.4,0,5872,5902,34322
1978,28,35073,41202,607547,594287,6181,15.1,5693,13.9,119943,42841,77102,7.2,20.2,93422,33973,59449,5.7,15.7,26521,4.5,31.4,0,3800,3811,17983
1978,29,81343,96708,1592243,1550739,14048,14.7,12017,12.6,309860,99151,210709,6.4,20,226851,93354,133497,6,14.6,83009,5.4,29.2,0,8269,8298,40906
1978,30,15955,18322,196897,193420,2891,15.5,3267,17.5,46743,16047,30696,8.3,24.2,39788,19624,20164,10.1,20.6,6955,3.6,41.2,0,1916,1920,9760
1978,31,32031,36884,481328,477311,4991,13.7,4157,11.4,98191,30052,68139,6.3,20.6,90157,33235,56922,7,18.9,8034,1.7,37.8,0,2951,2975,15148
1978,32,12569,14465,268248,251150,2840,19.5,2875,19.7,72689,24950,47739,9.9,28.9,38493,23286,15207,9.3,15.3,34196,13.6,30.6,0,1633,1637,11388
1978,33,17435,19434,295542,278719,3139,16.6,2141,11.3,65631,25431,40200,9.1,23.5,31985,13161,18824,4.7,11.5,33646,12,23,0,1528,1534,7214
1978,34,127076,144463,2402204,2348598,19063,13.3,16283,11.4,445590,137966,307624,5.9,19,338378,139935,198443,6,14.4,107212,4.6,28.8,0,10775,10816,58403
1978,35,19821,23243,293575,283040,3820,16.1,4419,18.6,73690,25656,48034,9.1,26,52619,29780,22839,10.5,18.6,21071,7.4,37.2,0,2715,2719,17516
1978,36,313051,353748,5768689,5663294,43729,12.4,43380,12.3,1102803,314998,787805,5.6,19.5,892013,353731,538282,6.2,15.8,210790,3.7,31.6,0,30834,30934,172097
1978,37,87639,106080,1852814,1798627,15733,15.1,12131,11.6,325017,107795,217222,6,18.1,216643,91546,125097,5.1,12,108374,6.1,24,0,8525,8561,43855
1978,38,13598,15373,162754,155928,2195,14.5,1709,11.3,33204,11301,21903,7.2,21.3,19552,8124,11428,5.2,12.5,13652,8.8,25,0,1189,1193,5327
1978,39,154883,192838,3665902,3601279,24420,12.8,20672,10.8,614607,177309,437298,4.9,17.1,485362,163548,321814,4.5,13.5,129245,3.6,27,0,13611,13668,71258
1978,40,47602,55990,775465,759436,8754,15.3,10543,18.4,163127,59586,103541,7.8,21.5,131069,71350,59719,9.4,17.3,32058,4.2,34.6,0,6344,6360,36622
1978,41,49107,56888,799227,747204,10761,19.4,7827,14.1,204994,69405,135589,9.3,27.4,100948,51979,48969,7,13.5,104046,13.9,27,0,5283,5301,27853
1978,42,176946,211626,3918722,3879480,25320,12,22356,10.6,694461,198858,495603,5.1,17.9,615976,235662,380314,6.1,15.9,78485,2,31.8,0,14774,14859,119049
1978,44,17895,19844,333538,345694,2501,12.7,2088,10.6,67605,20691,46914,6,19.6,91917,18484,73433,5.3,26.6,-24312,-7,39.2,0,1438,1440,7988
1978,45,43874,52114,913576,876031,8033,15.7,6096,11.9,173151,65063,108088,7.4,19.8,98061,39628,58433,4.5,11.2,75090,8.6,22.4,0,4392,4403,18593
1978,46,14362,16128,171114,182979,2418,15.2,1866,11.8,37404,12896,24508,7,20.4,61134,9110,52024,5,33.4,-23730,-13,40.8,0,1305,1306,5665
1978,47,67470,80428,1387433,1351188,12084,15.2,9966,12.6,272076,87952,184124,6.5,20.1,199587,78640,120947,5.8,14.8,72489,5.3,29.6,0,6950,6972,38450
1978,48,204014,254408,4209880,4089547,40560,15.7,46429,17.9,957291,326667,630624,8,23.4,716624,357494,359130,8.7,17.5,240667,5.9,35,0,26558,26702,174431
1978,49,20623,24014,376521,365325,4125,17,4355,17.9,85419,31886,53533,8.7,23.4,63026,31018,32008,8.5,17.3,22393,6.1,34.6,0,2401,2410,14870
1978,50,11075,12227,157568,151146,1915,16.1,1288,10.8,35944,13893,22051,9.2,23.8,23099,12244,10855,8.1,15.3,12845,8.5,30.6,0,961,968,4973
1978,51,75553,91696,1476718,1433574,13648,15.2,10060,11.2,286165,94211,191954,6.6,20,199877,82367,117510,5.7,13.9,86288,6.1,27.8,0,6879,6906,42338
1978,53,69560,81688,1199479,1113164,15036,18.8,11137,14,329618,104810,224808,9.4,29.6,156987,73594,83393,6.6,14.1,172631,15.5,28.2,0,7033,7057,40738
1978,54,26917,31302,453307,462115,4182,13.4,3756,12.1,72441,23492,48949,5.1,15.7,90059,24020,66039,5.2,19.5,-17618,-3.8,31.4,0,2478,2484,11280
1978,55,78838,91026,1545402,1489227,12528,14,9121,10.2,271175,83920,187255,5.6,18.2,158826,67552,91274,4.5,10.7,112349,7.5,21.4,0,6361,6389,34761
1978,56,9470,10634,124359,116515,1984,18.5,1971,18.4,37205,13911,23294,11.9,31.9,21517,12265,9252,10.5,18.5,15688,13.4,37,0,1179,1181,6070
1979,1,54740,65956,1082551,1055579,9429,14.4,8106,12.4,219059,74920,144139,7.1,20.8,165114,64732,100382,6.1,15.6,53945,5.2,31.2,0,5899,5914,35731
1979,2,7058,8303,107868,108810,1807,22.2,1398,17.1,28908,11662,17246,10.7,26.6,30793,12080,18713,11.1,28.3,-1885,-1.7,53.2,0,904,907,5560
1979,4,40312,48719,767836,713900,9218,20.1,3882,8.5,201655,75820,125835,10.6,28.2,93783,31146,62637,4.4,13.1,107872,15.1,26.2,0,118,132,1452
1979,5,36635,41975,602880,583718,6429,15.9,3659,9,113979,43564,70415,7.5,19.5,75654,22635,53019,3.9,13,38325,6.5,26,0,67,74,2254
1979,6,397916,478669,7909509,7568668,89959,19.3,60625,13,1856675,720036,1136639,9.5,24.5,1174992,475556,699436,6.3,15.5,681683,9,31,0,41904,42092,257486
1979,8,56439,65650,986371,932838,12099,19.4,6050,9.7,235069,89994,145075,9.6,25.2,128003,47807,80196,5.1,13.7,107066,11.5,27.4,0,106,123,3424
1979,9,56967,64834,1209947,1174179,7968,12.4,6032,9.4,199562,62615,136947,5.3,17,128026,45734,82292,3.9,10.9,71536,6.1,21.8,0,4160,4167,21983
1979,10,9929,11569,204698,213451,1551,13.6,1203,10.5,31881,11917,19964,5.6,14.9,49387,8173,41214,3.8,23.1,-17506,-8.2,29.8,0,809,820,3978
